DATESTR,DATENUM,TYPE,DEPENDENCE,LON,LAT,DEP,LOCSRC,PREFMW,PREFMWSRC,PREFMS,PREFMSSRC,PREFmb,PREFmbSRC,PREFML,PREFMLSRC,MLREGION,REVML,MX_ORIGML,MX_TYPE,MX_REVML,MX_REVMLTYPE,MX_REVMLSRC,MS2MW,mb2MW,ML2MW,PREFMW,PREFMWSRC,COMM
1872-10-18 08:53:00,684026.3701,local,1,150,-33.7,10,KMcC,NaN,,NaN,,NaN,,5.3,KMcC,SEA,4.81,5.3,MP,4.81,REV_ML,REV_ML,NaN,NaN,4.67,4.67,ML2MW,Jenolan Caves; NSW
1873-04-22 06:00:00,684212.25,local,1,145.25,-38.5,10,Gliddon,NaN,,NaN,,NaN,,3.5,Gliddon,SEA,3.29,3.5,M?,3.29,REV_ML,REV_ML,NaN,NaN,3.43,3.43,ML2MW,Phillip Island?; Vic
1873-12-15 04:00:00,684449.1667,local,1,127.5,-26.25,0,E.T.,NaN,,NaN,,NaN,,6,E.T.,WA,5.4,6,MP,5.4,REV_ML,REV_ML,NaN,NaN,5.2,5.2,ML2MW,E of Warburton; WA
1875-09-16 20:00:00,685089.8333,local,1,152.5,-27.5,0,BMR,NaN,,NaN,,NaN,,3,BMR,SEA,2.87,3,MP,2.87,REV_ML,REV_ML,NaN,NaN,3.12,3.12,ML2MW,Ipswich; Qld
1875-11-11 10:50:00,685145.4514,local,1,148.5,-22,0,BRS,NaN,,NaN,,NaN,,4.3,BRS,SEA,3.97,4.3,MP,3.97,REV_ML,REV_ML,NaN,NaN,3.96,3.96,ML2MW,Mackay; Qld
1875-11-24 11:00:00,685158.4583,local,1,152,-28.1,10,BRS,NaN,,NaN,,NaN,,3.9,BRS,SEA,3.63,3.9,MP,3.63,REV_ML,REV_ML,NaN,NaN,3.69,3.69,ML2MW,Warwick; Qld
1876-03-19 15:30:00,685274.6458,local,2,139.083,-34.517,7,ADE,NaN,,NaN,,NaN,,3.7,ADE,SA,3.46,3.7,MP,3.46,REV_ML,REV_ML,NaN,NaN,3.56,3.56,ML2MW,Angaston; SA
1876-03-22 09:30:00,685277.3958,local,0,139.083,-34.517,7,ADE,NaN,,NaN,,NaN,,3.1,ADE,SA,2.96,3.1,MP,2.96,REV_ML,REV_ML,NaN,NaN,3.18,3.18,ML2MW,Angaston; SA
1876-03-22 13:15:00,685277.5521,local,0,139.083,-34.517,7,ADE,NaN,,NaN,,NaN,,3.5,ADE,SA,3.29,3.5,MP,3.29,REV_ML,REV_ML,NaN,NaN,3.43,3.43,ML2MW,Angaston; SA
1877-02-26 21:45:00,685618.9063,local,1,152.8,-27.5,10,BRS,NaN,,NaN,,NaN,,4.5,BRS,SEA,4.13,4.5,MP,4.13,REV_ML,REV_ML,NaN,NaN,4.09,4.09,ML2MW,Ipswich; Qld
1877-08-21 16:30:00,685794.6875,local,1,138.767,-35.017,7,ADE,NaN,,NaN,,NaN,,2.7,ADE,SA,2.62,2.7,MP,2.62,REV_ML,REV_ML,NaN,NaN,2.94,2.94,ML2MW,Bridgewater; SA
1879-11-30 00:30:00,686625.0208,local,1,138.55,-33.817,7,ADE,NaN,,NaN,,NaN,,4.2,ADE,SA,3.88,4.2,MP,3.88,REV_ML,REV_ML,NaN,NaN,3.89,3.89,ML2MW,Clare; SA
1880-01-25 11:30:00,686681.4792,local,1,138.367,-33.617,9,ADE,NaN,,NaN,,NaN,,3.3,ADE,SA,3.13,3.3,MP,3.13,REV_ML,REV_ML,NaN,NaN,3.3,3.3,ML2MW,Koolunga; SA
1880-02-03 06:30:00,686690.2708,local,1,146.4,-43,10,Leiba,NaN,,NaN,,NaN,,5.5,Leiba,SEA,4.97,5.5,MP,4.97,REV_ML,REV_ML,NaN,NaN,4.82,4.82,ML2MW,Southwest; Tas
1880-04-28 09:30:00,686775.3958,local,1,139.25,-35.333,7,ADE,NaN,,NaN,,NaN,,4.1,ADE,SA,3.8,4.1,MP,3.8,REV_ML,REV_ML,NaN,NaN,3.82,3.82,ML2MW,Lake Alexandrina; SA
1880-07-31 07:00:00,686869.2917,local,1,148.4,-31,10,BRS,NaN,,NaN,,NaN,,3.2,BRS,SEA,3.04,3.2,MP,3.04,REV_ML,REV_ML,NaN,NaN,3.24,3.24,ML2MW,Coonamble; NSW
1880-08-10 19:00:00,686879.7917,local,1,151.9,-28.9,10,BRS,NaN,,NaN,,NaN,,3.6,BRS,SEA,3.38,3.6,MP,3.38,REV_ML,REV_ML,NaN,NaN,3.49,3.49,ML2MW,Warwick; Qld
1880-10-26 01:00:00,686956.0417,local,1,151.6,-31,10,BRS,NaN,,NaN,,NaN,,3.2,BRS,SEA,3.04,3.2,MP,3.04,REV_ML,REV_ML,NaN,NaN,3.24,3.24,ML2MW,Walcha; NSW
1881-06-07 14:00:00,687180.5833,local,1,145.25,-38.5,10,Gliddon,NaN,,NaN,,NaN,,3.5,Gliddon,SEA,3.29,3.5,M?,3.29,REV_ML,REV_ML,NaN,NaN,3.43,3.43,ML2MW,Phillip Island?; Vic
1882-03-18 16:30:00,687464.6875,local,1,138.9,-35.267,7,ADE,NaN,,NaN,,NaN,,3,ADE,SA,2.87,3,MP,2.87,REV_ML,REV_ML,NaN,NaN,3.12,3.12,ML2MW,Strathalbyn; SA
1882-09-18 07:30:00,687648.3125,local,1,138.63,-34.517,7,ADE,NaN,,NaN,,NaN,,3.1,ADE,SA,2.96,3.1,MP,2.96,REV_ML,REV_ML,NaN,NaN,3.18,3.18,ML2MW,Magill; SA
1882-10-24 00:00:00,687684,local,1,139.85,-36.83,10,ADE,NaN,,NaN,,NaN,,3.1,ADE,SEA,2.96,3.1,MP,2.96,REV_ML,REV_ML,NaN,NaN,3.18,3.18,ML2MW,Kingston; SA
1883-07-07 13:38:00,687940.5681,local,0,138.7,-35.1,14,ADE,NaN,,NaN,,NaN,,4.2,ADE,SA,3.88,4.2,MP,3.88,REV_ML,REV_ML,NaN,NaN,3.89,3.89,ML2MW,Mt Barker; SA
1883-07-07 13:43:00,687940.5715,local,0,138.7,-35.1,14,ADE,NaN,,NaN,,NaN,,3.1,ADE,SA,2.96,3.1,MP,2.96,REV_ML,REV_ML,NaN,NaN,3.18,3.18,ML2MW,Mt Barker; SA
1883-07-07 13:58:00,687940.5819,local,2,138.7,-35.1,10,ADE,NaN,,NaN,,NaN,,4.7,ADE,SA,4.3,4.7,MP,4.3,REV_ML,REV_ML,NaN,NaN,4.23,4.23,ML2MW,Mt Barker; SA
1883-08-28 16:55:00,687992.7049,local,2,151.7,-25.5,10,BRS,NaN,,NaN,,NaN,,5.9,BRS,SEA,5.31,5.9,MP,5.31,REV_ML,REV_ML,NaN,NaN,5.12,5.12,ML2MW,Gayndah; Qld
1883-08-28 18:20:00,687992.7639,local,0,151.7,-25.5,10,BRS,NaN,,NaN,,NaN,,5.2,BRS,SEA,4.72,5.2,MP,4.72,REV_ML,REV_ML,NaN,NaN,4.59,4.59,ML2MW,Gayndah; Qld
1883-12-13 00:00:00,688099,local,0,149.107,-39.96,10,Underwood,NaN,,NaN,,NaN,,4,Underwood,SEA,3.71,4,MP,3.71,REV_ML,REV_ML,NaN,NaN,3.75,3.75,ML2MW,Tasman Sea
1884-02-14 00:17:00,688162.0118,local,0,149,-40,10,Underwood,NaN,,NaN,,NaN,,3,Underwood,SEA,2.87,3,MP,2.87,REV_ML,REV_ML,NaN,NaN,3.12,3.12,ML2MW,Tasman Sea
1884-02-17 05:25:00,688165.2257,local,0,149.8,-40.3,NaN,Leiba,NaN,,NaN,,NaN,,5.7,Leiba,SEA,5.14,5.7,MP,5.14,REV_ML,REV_ML,NaN,NaN,4.97,4.97,ML2MW,Tasman Sea
1884-03-05 09:27:00,688182.3938,local,0,149.5,-40.2,NaN,Leiba,NaN,,NaN,,NaN,,5.6,Leiba,SEA,5.06,5.6,MP,5.06,REV_ML,REV_ML,NaN,NaN,4.89,4.89,ML2MW,Tasman Sea
1884-03-18 12:20:00,688195.5139,local,0,149.2,-40.1,10,Underwood,NaN,,NaN,,NaN,,3,Underwood,SEA,2.87,3,MP,2.87,REV_ML,REV_ML,NaN,NaN,3.12,3.12,ML2MW,Tasman Sea
1884-03-26 13:56:00,688203.5806,local,1,150,-37,10,Underwood,NaN,,NaN,,NaN,,4,Underwood,SEA,3.71,4,MP,3.71,REV_ML,REV_ML,NaN,NaN,3.75,3.75,ML2MW,Green Cape; NSW
1884-03-27 11:20:00,688204.4722,local,0,149.1,-40.1,10,Underwood,NaN,,NaN,,NaN,,3,Underwood,SEA,2.87,3,MP,2.87,REV_ML,REV_ML,NaN,NaN,3.12,3.12,ML2MW,Tasman Sea
1884-03-28 13:12:00,688205.55,local,0,148.9,-41.2,NaN,Leiba,NaN,,NaN,,NaN,,5.9,Leiba,SEA,5.31,5.9,MP,5.31,REV_ML,REV_ML,NaN,NaN,5.12,5.12,ML2MW,Tasman Sea
1884-05-10 12:30:00,688248.5208,local,0,148.9,-41.2,NaN,Leiba,NaN,,NaN,,NaN,,5.7,Leiba,SEA,5.14,5.7,MP,5.14,REV_ML,REV_ML,NaN,NaN,4.97,4.97,ML2MW,Tasman Sea
1884-05-10 21:30:00,688248.8958,local,0,148.9,-41.2,NaN,Leiba,NaN,,NaN,,NaN,,5.9,Leiba,SEA,5.31,5.9,MP,5.31,REV_ML,REV_ML,NaN,NaN,5.12,5.12,ML2MW,Tasman Sea
1884-05-27 10:22:00,688265.4319,local,0,148.9,-41.2,NaN,Leiba,NaN,,NaN,,NaN,,5.8,Leiba,SEA,5.23,5.8,MP,5.23,REV_ML,REV_ML,NaN,NaN,5.04,5.04,ML2MW,Tasman Sea
1884-06-09 10:20:00,688278.4306,local,0,149.1,-39.9,10,Underwood,NaN,,NaN,,NaN,,4,Underwood,SEA,3.71,4,MP,3.71,REV_ML,REV_ML,NaN,NaN,3.75,3.75,ML2MW,Tasman Sea
1884-06-17 10:17:00,688286.4285,local,0,148.8,-39.8,NaN,Leiba,NaN,,NaN,,NaN,,5.8,Leiba,SEA,5.23,5.8,MP,5.23,REV_ML,REV_ML,NaN,NaN,5.04,5.04,ML2MW,Tasman Sea
1884-06-17 10:36:00,688286.4417,local,1,150,-37,10,Underwood,NaN,,NaN,,NaN,,3,Underwood,SEA,2.87,3,MP,2.87,REV_ML,REV_ML,NaN,NaN,3.12,3.12,ML2MW,Green Cape; NSW
1884-06-22 20:45:00,688291.8646,local,0,149.5,-40.3,NaN,Leiba,NaN,,NaN,,NaN,,5.8,Leiba,SEA,5.23,5.8,MP,5.23,REV_ML,REV_ML,NaN,NaN,5.04,5.04,ML2MW,Tasman Sea
1884-07-12 03:30:00,688311.1458,local,0,148.9,-41.2,NaN,Leiba,NaN,,NaN,,NaN,,5.2,Leiba,SEA,4.72,5.2,MP,4.72,REV_ML,REV_ML,NaN,NaN,4.59,4.59,ML2MW,Tasman Sea
1884-07-13 03:55:00,688312.1632,local,0,148.5,-40.5,10,Leiba,NaN,,NaN,,NaN,,6.4,Leiba,SEA,5.73,6.4,MP,5.73,REV_ML,REV_ML,NaN,NaN,5.52,5.52,ML2MW,Cape Barren Island; Tas
1884-08-03 02:40:00,688333.1111,local,0,148.9,-40.1,10,Underwood,NaN,,NaN,,NaN,,4,Underwood,SEA,3.71,4,MP,3.71,REV_ML,REV_ML,NaN,NaN,3.75,3.75,ML2MW,Tasman Sea
1884-08-07 12:20:00,688337.5139,local,0,148.9,-39.9,10,Underwood,NaN,,NaN,,NaN,,4,Underwood,SEA,3.71,4,MP,3.71,REV_ML,REV_ML,NaN,NaN,3.75,3.75,ML2MW,Tasman Sea
1884-08-14 09:15:00,688344.3854,local,0,148.95,-40.05,10,Underwood,NaN,,NaN,,NaN,,4,Underwood,SEA,3.71,4,MP,3.71,REV_ML,REV_ML,NaN,NaN,3.75,3.75,ML2MW,Tasman Sea
1884-09-15 13:41:00,688376.5701,local,1,138.833,-32.983,6,ADE,NaN,,NaN,,NaN,,2.8,ADE,SA,2.7,2.8,MP,2.7,REV_ML,REV_ML,NaN,NaN,3,3,ML2MW,Peterborough; SA
1884-09-16 11:50:00,688377.4931,local,0,149.15,-40.05,10,Underwood,NaN,,NaN,,NaN,,5,Underwood,SEA,4.55,5,MP,4.55,REV_ML,REV_ML,NaN,NaN,4.45,4.45,ML2MW,Tasman Sea
1884-09-19 10:27:00,688380.4354,local,0,149.5,-40.8,NaN,Leiba,NaN,,NaN,,NaN,,6.4,Leiba,SEA,5.73,6.4,MP,5.73,REV_ML,REV_ML,NaN,NaN,5.52,5.52,ML2MW,E of Flinders Is; Tasman Sea
1885-01-05 12:20:00,688488.5139,local,2,114,-29,0,BMR,NaN,,NaN,,NaN,,6.5,BMR,WA,5.82,6.5,MP,5.82,REV_ML,REV_ML,NaN,NaN,5.6,5.6,ML2MW,Off Geraldton; WA
1885-01-09 17:35:00,688492.7326,local,1,145.3,-38.2,10,Underwood,NaN,,NaN,,NaN,,4,Underwood,SEA,3.71,4,MP,3.71,REV_ML,REV_ML,NaN,NaN,3.75,3.75,ML2MW,Berwick; Vic
1885-01-21 01:10:00,688504.0486,local,1,149.1,-36.3,10,BMR,NaN,,NaN,,NaN,,4.6,BMR,SEA,4.22,4.6,MP,4.22,REV_ML,REV_ML,NaN,NaN,4.16,4.16,ML2MW,Berridale; NSW
1885-01-30 15:05:00,688513.6285,local,0,148.83,-39.81,10,Underwood,NaN,,NaN,,NaN,,6,Underwood,SEA,5.4,6,MP,5.4,REV_ML,REV_ML,NaN,NaN,5.2,5.2,ML2MW,E of Flinders Is; Tasman Sea
1885-02-08 15:05:00,688522.6285,local,0,149.05,-39.9,10,Underwood,NaN,,NaN,,NaN,,4,Underwood,SEA,3.71,4,MP,3.71,REV_ML,REV_ML,NaN,NaN,3.75,3.75,ML2MW,Tasman Sea
1885-02-21 10:00:00,688535.4167,local,0,149,-39.8,10,Underwood,NaN,,NaN,,NaN,,4,Underwood,SEA,3.71,4,MP,3.71,REV_ML,REV_ML,NaN,NaN,3.75,3.75,ML2MW,Tasman Sea
1885-02-21 18:15:00,688535.7604,local,0,149,-40.2,10,Underwood,NaN,,NaN,,NaN,,4,Underwood,SEA,3.71,4,MP,3.71,REV_ML,REV_ML,NaN,NaN,3.75,3.75,ML2MW,Tasman Sea
1885-02-27 12:00:00,688541.5,local,0,148.9,-39.9,10,Underwood,NaN,,NaN,,NaN,,5,Underwood,SEA,4.55,5,MP,4.55,REV_ML,REV_ML,NaN,NaN,4.45,4.45,ML2MW,Tasman Sea
1885-03-09 13:20:00,688551.5556,local,1,144.9,-37.8,10,Underwood,NaN,,NaN,,NaN,,3,Underwood,SEA,2.87,3,MP,2.87,REV_ML,REV_ML,NaN,NaN,3.12,3.12,ML2MW,Melbourne; Vic
1885-03-15 19:50:00,688557.8264,local,0,148.99,-39.8,10,Underwood,NaN,,NaN,,NaN,,4,Underwood,SEA,3.71,4,MP,3.71,REV_ML,REV_ML,NaN,NaN,3.75,3.75,ML2MW,Tasman Sea
1885-03-15 23:00:00,688557.9583,local,0,148.99,-40.1,10,Underwood,NaN,,NaN,,NaN,,4,Underwood,SEA,3.71,4,MP,3.71,REV_ML,REV_ML,NaN,NaN,3.75,3.75,ML2MW,Tasman Sea
1885-03-16 09:45:00,688558.4063,local,0,149.12,-40.12,10,MELOBS,NaN,,NaN,,NaN,,3,MELOBS,SEA,2.87,3,MP,2.87,REV_ML,REV_ML,NaN,NaN,3.12,3.12,ML2MW,Tasman Sea
1885-03-20 23:03:00,688562.9604,local,0,149.5,-40.5,NaN,Leiba,NaN,,NaN,,NaN,,5.9,Leiba,SEA,5.31,5.9,MP,5.31,REV_ML,REV_ML,NaN,NaN,5.12,5.12,ML2MW,E of Flinders Is; Tasman Sea
1885-03-22 08:05:00,688564.3368,local,0,148.9,-40.13,10,Underwood,NaN,,NaN,,NaN,,4,Underwood,SEA,3.71,4,MP,3.71,REV_ML,REV_ML,NaN,NaN,3.75,3.75,ML2MW,Tasman Sea
1885-03-22 18:30:00,688564.7708,local,0,149,-39.82,10,Underwood,NaN,,NaN,,NaN,,5,Underwood,SEA,4.55,5,MP,4.55,REV_ML,REV_ML,NaN,NaN,4.45,4.45,ML2MW,Tasman Sea
1885-03-26 08:50:00,688568.3681,local,0,148.8,-40,10,Underwood,NaN,,NaN,,NaN,,4,Underwood,SEA,3.71,4,MP,3.71,REV_ML,REV_ML,NaN,NaN,3.75,3.75,ML2MW,Tasman Sea
1885-03-30 11:25:00,688572.4757,local,0,148.826,-40.015,10,Underwood,NaN,,NaN,,NaN,,5,Underwood,SEA,4.55,5,MP,4.55,REV_ML,REV_ML,NaN,NaN,4.45,4.45,ML2MW,Tasman Sea
1885-05-04 11:00:00,688607.4583,local,0,149.18,-39.887,10,Underwood,NaN,,NaN,,NaN,,5,Underwood,SEA,4.55,5,MP,4.55,REV_ML,REV_ML,NaN,NaN,4.45,4.45,ML2MW,Tasman Sea
1885-05-04 12:50:00,688607.5347,local,0,149.076,-39.828,10,Underwood,NaN,,NaN,,NaN,,5,Underwood,SEA,4.55,5,MP,4.55,REV_ML,REV_ML,NaN,NaN,4.45,4.45,ML2MW,Tasman Sea
1885-05-07 20:00:00,688610.8333,local,0,115,-29,0,E&T,NaN,,NaN,,NaN,,4,E&T,WA,3.71,4,ML,3.71,REV_ML,REV_ML,NaN,NaN,3.75,3.75,ML2MW,SE of Geraldton; WA
